CLASS,CLASS_CODE,COMM_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CNSS_YR,FOIP_IND,RES_CNT,DWELL_CNT,PRSCH_CHLD,ELECT_CNT,EMPLYD_CNT,OWNSHP_CNT,DOG_CNT,CAT_CNT,PUB_SCH,SEP_SCH,PUBSEP_SCH,OTHER_SCH,UNKNWN_SCH,SING_FAMLY,DUPLEX,MULTI_PLEX,APARTMENT,TOWN_HOUSE,MANUF_HOME,CONV_STRUC,COMUNL_HSE,RES_COMM,OTHER_RES,NURSING_HM,OTHER_INST,HOTEL_CNT,OTHER_MISC,APT_NO_RES,APT_OCCPD,APT_OWNED,APT_PERSON,APT_VACANT,APT_UC,APT_NA,CNV_NO_RES,CNV_OCCPD,CNV_OWNED,CNV_PERSON,CNV_VACANT,CNV_UC,CNV_NA,DUP_NO_RES,DUP_OCCPD,DUP_OWNED,DUP_PERSON,DUP_VACANT,DUP_UC,DUP_NA,MFH_NO_RES,MFH_OCCPD,MFH_OWNED,MFH_PERSON,MFH_VACANT,MFH_UC,MFH_NA,MUL_NO_RES,MUL_OCCPD,MUL_OWNED,MUL_PERSON,MUL_VACANT,MUL_UC,MUL_NA,OTH_NO_RES,OTH_OCCPD,OTH_OWNED,OTH_PERSON,OTH_VACANT,OTH_UC,OTH_NA,TWN_NO_RES,TWN_OCCPD,TWN_OWNED,TWN_PERSON,TWN_VACANT,TWN_UC,TWN_NA,SF_NO_RES,SF_OCCPD,SF_OWNED,SF_PERSON,SF_VACANT,SF_UC,SF_NA,OTH_STRTY,DWELSZ_1,DWELSZ_2,DWELSZ_3,DWELSZ_4_5,DWELSZ_6,MALE_CNT,FEMALE_CNT,MALE_0_4,MALE_5_14,MALE_15_19,MALE_20_24,MALE_25_34,MALE_35_44,MALE_45_54,MALE_55_64,MALE_65_74,MALE_75,FEM_0_4,FEM_5_14,FEM_15_19,FEM_20_24,FEM_25_34,FEM_35_44,FEM_45_54,FEM_55_64,FEM_65_74,FEM_75,MF_0_4,MF_5_14,MF_15_19,MF_20_24,MF_25_34,MF_35_44,MF_45_54,MF_55_64,MF_65_74,MF_75,OTHER_CNT,OTHER_0_4,OTHER_5_14,OTHER_15_19,OTHER_20_24,OTHER_25_34,OTHER_35_44,OTHER_45_54,OTHER_55_64,OTHER_65_74,OTHER_75,multipolygon
Residential,1,LEG,LEGACY,SOUTH,DEVELOPING,BUILDING OUT,2019,,6420,2766,850,0,0,1826,0,0,1071,506,175,107,907,1081,356,14,1004,311,0,0,0,0,0,0,0,0,0,8,909,394,1759,83,2,2,0,0,0,0,0,0,0,0,343,308,944,8,3,1,0,0,0,0,0,0,0,0,12,9,25,2,0,0,0,0,0,0,0,0,0,2,258,222,660,7,44,0,19,949,893,3032,46,65,2,0,460,945,459,556,48,3125,3283,330,387,171,212,708,604,369,196,111,37,356,375,153,206,810,600,355,250,141,37,686,762,324,418,1518,1204,724,446,252,74,0,0,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-114.021996041091 50.86307890478028, -114.02137467611782 50.86306166500003, -114.01751847339578 50.86306324693014, -114.01744919278485 50.8630612831007, -114.0173339909322 50.863058504371516, -114.01724907627249 50.8630568358185, -114.01714344060275 50.86305520800699, -114.01702636853382 50.86305398542038, -114.01690546556387 50.86305336470319, -114.00181584507727 50.86304981103825, -113.98663319857395 50.863077265952406, -113.98662562782111 50.86307024568201, -113.98659763848337 50.863038876311585, -113.9865724766606 50.86300521480592, -113.98656867283444 50.86299426453072, -113.98655157773386 50.86296694100947, -113.98653591763217 50.86293870156862, -113.98652493206859 50.862906839689444, -113.9865185009946 50.86289355170531, -113.98650637906583 50.862861625863786, -113.98649060697348 50.86282789350446, -113.98647418067539 50.862796912011476, -113.98645335175408 50.86276275652993, -113.98643624273092 50.86273498348832, -113.98642357818669 50.86271311829987, -113.98640274933967 50.86267896280881, -113.98638566852281 50.86265209775419, -113.98638083615283 50.86264174339022, -113.98637598958808 50.86263136115534, -113.986372907606 50.86262475762956, -113.98635788815574 50.862592391821075, -113.98633786762596 50.86256326183061, -113.98631343070254 50.862529591361145, -113.98628538601719 50.86249502056202, -113.98626097703814 50.86246318404756, -113.986246139422 50.86244087807226, -113.98622832039244 50.862413105813964, -113.98621115717825 50.8623821232958, -113.98620357766694 50.86236205668584, -113.9861944517136 50.862335597991446, -113.98618667645343 50.862305022029, -113.9861818548844 50.86227761899204, -113.98617561269351 50.86225068416634, -113.98617225383767 50.86222463969333, -113.98616594158231 50.86219450351398, -113.9861566757985 50.86216073591653, -113.98614905454424 50.862137927342516, -113.98613618074765 50.86210417729494, -113.98612269412563 50.86207728655496, -113.98610044502385 50.86204405590994, -113.98608417279122 50.862022217222425, -113.98606333042908 50.8619876121643, -113.98604974622238 50.8619547781041, -113.98603762499367 50.86192239461697, -113.98602994783653 50.861896844072625, -113.98601632174805 50.86186172743792, -113.98600218088507 50.86183804514129, -113.98599765284189 50.86182710374844, -113.98597685269756 50.86179432365206, -113.98595317029988 50.86176201068581, -113.98592516798925 50.86173064923646, -113.98589716571594 50.86169928867923, -113.98586765902247 50.86166381949543, -113.9858482937196 50.861631030558925, -113.98583054643372 50.86160736668226, -113.98581423255793 50.861583244486184, -113.98580374179647 50.86156182809212, -113.98578657775533 50.861530846405856, -113.98577082083301 50.86149712293335, -113.98575878347384 50.86147022243614, -113.98574826477287 50.86144743145969, -113.98573621365144 50.86141916537469, -113.98571899386651 50.86138498322491, -113.985706218481 50.86135626664803, -113.98569119989965 50.86132390074675, -113.98567696147107 50.86129519387601, -113.98566061993672 50.86126923769029, -113.98565462909404 50.86125784570347, -113.98563532022541 50.86122734020062, -113.98561531607314 50.861199127063095, -113.98559753966046 50.86117409666304, -113.98557825885123 50.86114495763637, -113.9855597300573 50.861118569644724, -113.98554118736638 50.861091254777506, -113.985527799252 50.86106939838602, -113.98550995318898 50.86104025053544, -113.9855054533208 50.86103068459814, -113.98548464137676 50.86099698652728, -113.9854681601404 50.86096417091249, -113.98545612323208 50.86093682177976, -113.98544630138923 50.86091219689723, -113.98543423666948 50.86088301379494, -113.98542300774977 50.86086113878103, -113.98541257314848 50.86084292370147, -113.98539850278146 50.86082289218255, -113.98537853956446 50.86079651297122, -113.98535195909514 50.86076376709445, -113.98532829014746 50.86073237097914, -113.98530835781546 50.860702881213065, -113.98529840909377 50.86067560424581, -113.98528577839119 50.86063993925267, -113.98527291907583 50.86060859752878, -113.98525726171825 50.860576609067635, -113.98524558020195 50.86054907116587, -113.98523210867141 50.86052241315913, -113.98522004510953 50.860490308276916, -113.98521096198859 50.860466070037, -113.98520047248796 50.860442335059005, -113.98518538318282 50.86041554288997, -113.98515893159481 50.860380621398946, -113.98513046295946 50.86034593428427, -113.985106993951 50.860312281652625, -113.9850889213486 50.86028257542477, -113.98507162814441 50.86025869572475, -113.98505055941685 50.86022606825035, -113.98502609671698 50.860190887171264, -113.98500999799252 50.86016752004603, -113.98498392978625 50.86013385716575, -113.98496902267351 50.860111002619, -113.98494634851977 50.86007988524139, -113.9849214870682 50.86004838909684, -113.98489682679171 50.8600142238362, -113.98488051391271 50.85999022736335, -113.98485403278545 50.859960242216346, -113.98482917253286 50.859925438623584, -113.98479630137136 50.859889994791736, -113.98477040103303 50.859865205932024, -113.98475009781434 50.85983841302357, -113.98473612752984 50.8598225258333, -113.98471449024132 50.85979242441685, -113.9846924123614 50.859763212051384, -113.98466232467652 50.859730052909775, -113.98463747889014 50.85969525826671, -113.9846229413147 50.859676961662586, -113.9845986620381 50.85964736331691, -113.9845733742603 50.85961789069301, -113.98454507403399 50.8595920936837, -113.98451238667644 50.85956057034177, -113.98448427151112 50.859533749378755, -113.984445195099 50.859498413399784, -113.98441012248236 50.85946422776592, -113.98437465262741 50.859428775374305, -113.9843371813982 50.8593935654337, -113.98430307319398 50.8593641994462, -113.98427798384382 50.859337010248645, -113.98425910226271 50.85930805983899, -113.98424904197479 50.859277348572924, -113.98423957762502 50.8592485423716, -113.98420467335134 50.85922158647155, -113.98415816633947 50.85918914417528, -113.98412385975516 50.85915914880601, -113.9840929612984 50.8591316890768, -113.98405867042544 50.859101684700164, -113.98402757453206 50.85907029628745, -113.98399487255486 50.85904207213326, -113.98395438857607 50.85900889339887, -113.98392346077591 50.85898473295759, -113.98388357337706 50.858951797011024, -113.98383827542924 50.858919867183914, -113.98379994880824 50.85889201977625, -113.98375562851886 50.85886326352976, -113.98370432083458 50.858832078985316, -113.98366821003299 50.858804609424205, -113.98362089334525 50.85877457702282, -113.98357395977658 50.85874581134996, -113.98351905989549 50.8587114527404, -113.98348013800681 50.85868498960593, -113.98342423033515 50.85864911149516, -113.9833789014083 50.85862212689432, -113.98332838992073 50.85859018713488, -113.98327466795526 50.85855963135666, -113.98323271760131 50.85853848979758, -113.98318719228146 50.85850922072913, -113.98313348589195 50.85847537453991, -113.98308039084789 50.85844012687004, -113.98303807364567 50.85841277308252, -113.98300034378335 50.85838682239111, -113.9829550315828 50.858358182563855, -113.98291108136618 50.85833399387802, -113.9828707061316 50.858317922790825, -113.98281872933396 50.85829802922317, -113.98276615612194 50.85827787483359, -113.98272639367865 50.85826041123242, -113.98269441222982 50.858246265190644, -113.98264723567215 50.85822840490192, -113.98259747531219 50.85820724397183, -113.9825500839769 50.85819039858518, -113.98250530756467 50.85817356256123, -113.98245991848783 50.85815811179036, -113.9824151273166 50.858142920903504, -113.98237093263204 50.85812798270914, -113.98232195132147 50.85810936595512, -113.98230536536276 50.85810285466586, -113.98225578969603 50.8580823319092, -113.98221043044964 50.85806358979851, -113.98216007463793 50.85804052360488, -113.98211274627988 50.858012134861326, -113.98206041870401 50.857982729457625, -113.98201526092635 50.85796132715416, -113.98197270181132 50.857941569509585, -113.98193055541412 50.85791979814833, -113.98187559706659 50.85789531878626, -113.98182502815303 50.857873268286816, -113.98177806639451 50.85785274573342, -113.98173330607612 50.85783261007657, -113.98167737055007 50.85780496687891, -113.98162703077664 50.85777860920951, -113.98157328126841 50.85775465131606, -113.98153509418331 50.8577389666816, -113.98149452210464 50.85772391095805, -113.98144572672945 50.85770756923918, -113.98139795332526 50.85768945572929, -113.98134177433093 50.857667772716326, -113.98128501380876 50.8576441827992, -113.9812544254623 50.85763282349173, -113.98121784286215 50.85761891903532, -113.98116727322923 50.85760016668908, -113.98112309499184 50.85758192868505, -113.98106693112415 50.85755859946866, -113.98101257084133 50.85753603467052, -113.98095961763083 50.857511313370004, -113.98091747067654 50.857489532651165, -113.98086892173858 50.85746558427227, -113.98082336573493 50.857444558122374, -113.98076900570591 50.857421984220345, -113.98071441669087 50.85740373535521, -113.98066262553075 50.85738611533066, -113.98061844700716 50.857369530400135, -113.98056908422726 50.85734963716034, -113.98052030514438 50.85732999481867, -113.98046553264786 50.85730945245126, -113.98042635273629 50.85729554731124, -113.98037515824083 50.85727817897951, -113.98033117707928 50.85726223316377, -113.98028357476615 50.85724804786535, -113.98023358674969 50.85723283728078, -113.98019500198517 50.857219184783354, -113.98014721678157 50.85720107075793, -113.98009825365523 50.8571807989064, -113.98006268094912 50.85716511423435, -113.98000772730343 50.85714064298027, -113.97995301630309 50.85711022034629, -113.97990527745732 50.85708386237775, -113.97985056730636 50.857051777440205, -113.97980701635488 50.85703050850755, -113.97975646498426 50.8570051568738, -113.97970612644077 50.85698044354676, -113.97965479510158 50.856952556546425, -113.9796008340648 50.85692960548588, -113.97955205510354 50.85691161690251, -113.9795098794717 50.85689642535555, -113.97945408236718 50.85687930753115, -113.97940629707342 50.856862838375655, -113.97935511835632 50.856843833413585, -113.97931074224557 50.8568266105588, -113.97925977710611 50.85680658971994, -113.9792118090637 50.85678618282159, -113.97916085968424 50.85676286260334, -113.97911110319684 50.856740055007634, -113.97905977247605 50.85671216864353, -113.97900307693894 50.85667868859762, -113.97895973954942 50.8566547493486, -113.97891478303484 50.856633974279454, -113.97887039233522 50.85661840451947, -113.97881439866171 50.85660064806107, -113.9787622104957 50.85658505886417, -113.97871263724457 50.8565661797719, -113.97866228477152 50.856543111164655, -113.97860918250562 50.856507869538454, -113.97855647591734 50.85647718590304, -113.9785037251753 50.856453101812605, -113.97845299078499 50.856427120276265, -113.97840205790229 50.856400500389285, -113.97835470279094 50.85637705462224, -113.97830534420598 50.85635551434876, -113.97827677295851 50.856343911902556, -113.97822779876212 50.85632363027116, -113.97817764391444 50.856301199782465, -113.97813270524937 50.85627713406502, -113.9780787764637 50.85624923689135, -113.97803722981538 50.856227715951015, -113.97798748942726 50.85620325371257, -113.97794493361023 50.856183503583786, -113.97790476268258 50.85616641493835, -113.9778646067657 50.856147682006316, -113.97782006265224 50.85612488383619, -113.97778750493167 50.85610718527502, -113.97773079605255 50.856075349779594, -113.97768107176074 50.85604759616471, -113.97763073613636 50.85602122777424, -113.9775769922781 50.85599396869472, -113.9775250683078 50.85596582891827, -113.9774863348441 50.85594329244957, -113.97744480374112 50.85592011713547, -113.97739327637744 50.855891599795605, -113.97734972842552 50.85586867577753, -113.97730339704913 50.85584511291005, -113.97724687234451 50.85581556068032, -113.9772037366042 50.855792259106735, -113.9771593789024 50.855770090021245, -113.97711124513324 50.855744108407436, -113.97705592624727 50.85571506875262, -113.97700378935723 50.85568794457394, -113.9769494648686 50.85565877920394, -113.97689694383574 50.855630378317706, -113.97684341581643 50.855602112058314, -113.97680046398287 50.85558108484788, -113.97675312470282 50.855557647420774, -113.97670658039094 50.855535091155595, -113.9766562308392 50.85551037650448, -113.97660569702357 50.85548502260375, -113.97655735089486 50.855461710755385, -113.97651580565102 50.8554401802807, -113.97646129826293 50.85540874016877, -113.97641076691261 50.85538174190786, -113.97636382448312 50.85535791783111, -113.97633626504171 50.85534454407752, -113.97628810125514 50.85532350663068, -113.97624155882092 50.85530095017951, -113.97619140828088 50.85527687365923, -113.97614925109646 50.85525839054752, -113.97609728140532 50.85523683981231, -113.97605212816698 50.85521707946798, -113.97600934461174 50.855201634805994, -113.97597056340149 50.855188986850656, -113.97591816504226 50.855172767032954, -113.975870779761 50.855157563202184, -113.97582918823421 50.85514427632683, -113.97578380344814 50.855130476218136, -113.97573901962019 50.85511363758762, -113.97568406922859 50.85508916339054, -113.97564012413247 50.85506826140459, -113.97558437895894 50.85504289788082, -113.97552964230337 50.855017407782405, -113.97548687589332 50.854997027407165, -113.97543953700412 50.85497522473081, -113.9753845732783 50.85495240545325, -113.97533420682174 50.85493263474055, -113.97527785194562 50.854908663496104, -113.97522569874842 50.854886474040654, -113.97516934168924 50.85486414881712, -113.97512455691786 50.85484730905081, -113.97507559843386 50.8548270350847, -113.97502465325205 50.85480371305363, -113.97497150692229 50.85478000305803, -113.97492834221977 50.85476163615798, -113.97488858657798 50.854742523803154, -113.97484262525874 50.85472187190357, -113.97481104702565 50.85470899137349, -113.97476948495922 50.85469241377579, -113.9747219020417 50.85467658103163, -113.9746767197392 50.85466010959796, -113.97462076108714 50.85463741560393, -113.97457398913252 50.854619173648274, -113.974519023035 50.854599643412215, -113.97447604206367 50.85458355985139, -113.97442607478713 50.854565056426665, -113.97438369024384 50.85454923367323, -113.97433491577353 50.854531242003716, -113.97428095923298 50.85450994174077, -113.97422839487263 50.85448812842967, -113.9741788407862 50.854467602233754, -113.97412587863616 50.85444617625848, -113.97408710181044 50.854430228336334, -113.97403473519239 50.85441070743869, -113.9739907612311 50.85439310416297, -113.97395358604473 50.85438059074389, -113.97390180169967 50.85436132163712, -113.97384582681846 50.854343562792046, -113.97379483554973 50.854328484067445, -113.97373841840681 50.85431440199291, -113.97372581265417 50.8543112175849, -113.97353645413867 50.85425547079159, -113.97348865847619 50.8542406434793, -113.97344107551778 50.85422645538681, -113.97339667378817 50.85421252871085, -113.97335549447087 50.85419886346449, -113.97331930012557 50.85418787837161, -113.97327031188884 50.8541725391645, -113.9732255251546 50.854158998007335, -113.9731771342749 50.8541422744337, -113.9731225662602 50.85412401212278, -113.97307076644468 50.8541080329932, -113.97302358163334 50.85409346724083, -113.97298498641246 50.85408145662589, -113.97293540203647 50.854065874409144, -113.97287939756305 50.85405140544315, -113.97282700059561 50.85403682851085, -113.97278479845436 50.85402658802538, -113.97273759627355 50.854015312503535, -113.97269436914529 50.85400684278152, -113.97264314789554 50.853997714897886, -113.97259952433357 50.85398962172999, -113.97255811567537 50.853980271361564, -113.97251970344327 50.853973834453235, -113.97246727393832 50.8539642027663, -113.97241966122064 50.85395331359011, -113.97238164549876 50.85394649914881, -113.9723354381776 50.85393675200444, -113.97228382113495 50.85392471109991, -113.97224542372172 50.85391498285529, -113.97220141857315 50.85390397757742, -113.97215941613192 50.85389271204988, -113.97211342211206 50.85388030381988, -113.97210013493032 50.85387702557693, -113.97209781173996 50.85387411944427, -113.97211456696719 50.85383718701668, -113.97222880386937 50.853585367583776, -113.97261251880744 50.852739469482806, -113.97262207139524 50.85271466103795, -113.9726284131429 50.85268944369184, -113.97263150277301 50.85266398285188, -113.97263132030864 50.85263844842524, -113.9726278656577 50.85261300672742, -113.97262116287 50.85258782677634, -113.97261125587978 50.85256307399839, -113.97259820992547 50.85253891112755, -113.97258211154937 50.85251549820569, -113.97256306433971 50.85249298808644, -113.97254119744896 50.852471530932256, -113.97251665281622 50.85245126701946, -113.97248959226607 50.852432330335986, -113.97246019467009 50.85241484498474, -113.97242865310564 50.85239892698099, -113.97239517627803 50.85238468065671, -113.97235998283922 50.85237219955836, -113.97232330848843 50.85236156734759, -113.97228539177291 50.85235285330287, -113.97224648260824 50.852346114119676, -113.9736975767957 50.848503039811106, -113.97514070052813 50.8484947526591, -113.97542614706462 50.84849314995443, -113.98177106479095 50.84848328447852, -113.98189703520941 50.84848280783615, -113.98242885252512 50.84848081241776, -113.98682959861863 50.84846419316825, -113.99821477442003 50.84842042286445, -113.99850040710025 50.84842056083566, -114.00152561335806 50.848480452124114, -114.00181080498565 50.84848609379077, -114.00579389101395 50.84849607511636, -114.01317971574215 50.848515013694204, -114.01534507136112 50.848519795183236, -114.018375249003 50.848518473710214, -114.02183996181543 50.84853626499763, -114.02205216493005 50.848536796860834, -114.02209478702596 50.84853687600289, -114.02253886684296 50.848537701777126, -114.02327612689848 50.84853962477611, -114.02342090207543 50.848540000364196, -114.02472968295235 50.8501636238952, -114.02600663291206 50.851724838688206, -114.02775797012563 50.85387343642871, -114.02929743114613 50.855771711645374, -114.02993347618619 50.85655239956789, -114.03119344248653 50.858114709201054, -114.03152199345341 50.85851862082659, -114.03232738412746 50.85948928862079, -114.03271687937965 50.859976820336655, -114.03333598362809 50.86075172771167, -114.03436617834994 50.86199558348174, -114.03468278472343 50.86238557291715, -114.0376557219555 50.86606219261974, -114.0379557964754 50.86643325876692, -114.03805355521209 50.866555964837524, -114.03645048563801 50.86677537867768, -114.03618515657695 50.86680101353513, -114.03595442536287 50.866808385621425, -114.03561869295132 50.86679753692546, -114.03522065095288 50.866772105408614, -114.0348225998076 50.86673572090822, -114.03422841291999 50.8666847911579, -114.03335040811527 50.86661568830396, -114.03300597056227 50.866588541986324, -114.03279660775733 50.866572040504366, -114.03231203597387 50.86653567171977, -114.03188514522532 50.86649563433824, -114.03152747617479 50.86645557761772, -114.03097364938775 50.86636446561285, -114.03042557201161 50.86624414723241, -114.02999286867934 50.866127446631005, -114.02955437997394 50.86598154274009, -114.02895723861756 50.86576658933595, -114.0283598395236 50.86547601165927, -114.02631489499394 50.864371735950044, -114.02584673079375 50.86412348516765, -114.02546672165367 50.86392998045647, -114.02507421205368 50.863746950553484, -114.02458616347234 50.86356910425132, -114.02404042481187 50.86339829888953, -114.02346613653096 50.86326758948055, -114.02277701409385 50.86315143566265, -114.02236993356136 50.86310334229839, -114.021996041091 50.86307890478028)))"
Residential,1,HPK,HIGHLAND PARK,CENTRE,BUILT-OUT,1950s,2019,,3838,2277,325,0,0,645,0,0,786,190,107,84,1104,823,402,45,520,24,0,460,0,2,1,0,0,0,0,0,453,70,656,62,1,2,4,302,0,484,122,5,25,3,354,214,887,39,5,1,0,0,0,0,0,0,0,0,40,0,65,5,0,0,1,2,0,0,0,0,0,0,18,0,46,4,2,0,3,743,361,1697,68,6,0,3,734,725,241,195,11,1986,1846,142,167,52,119,364,456,264,243,117,62,140,155,39,98,413,342,221,216,112,110,282,322,91,217,777,798,485,459,229,172,0,0,0,0,0,0,0,0,0,0,0,"MULTIPOLYGON (((-114.0691626854784 51.09565033694082, -114.06670798523871 51.0947622816279, -114.06451832438105 51.095106645573914, -114.06437275738713 51.09513400401978, -114.06374689825223 51.09498902372333, -114.06312932879534 51.09481569840263, -114.06299954143869 51.09477599366885, -114.06286928300634 51.0947445712149, -114.06265874419593 51.09469028781719, -114.06253150644609 51.09465313785525, -114.06242112255465 51.094620879919226, -114.06205116913021 51.09452893734795, -114.06186508021918 51.09447819584981, -114.06178521170601 51.09445644895034, -114.06171575949853 51.0944350974374, -114.06135896881932 51.09434126508879, -114.06131978600968 51.09433062480983, -114.06128239077883 51.09432447211674, -114.06123788370516 51.09432617919834, -114.06097634088503 51.09415670352348, -114.06025701722363 51.09396406849042, -114.0598746636767 51.09372749529797, -114.05988245353922 51.092430643057654, -114.05973847423407 51.09245824844279, -114.05964134626608 51.09247692819963, -114.05934670075116 51.092533569150426, -114.0592747686985 51.0925334779861, -114.05906608126514 51.09156355693716, -114.05874075688946 51.09144685792664, -114.05769230509667 51.09142208665311, -114.05708878703302 51.09141369707852, -114.05549966936557 51.09093923629458, -114.05259733025784 51.090931838201776, -114.05251164710441 51.090931923461696, -114.05251432700804 51.090787427816906, -114.05251420093603 51.09067610618349, -114.05250594656756 51.090617491895195, -114.05272585278426 51.09061717718202, -114.0535572531919 51.09061707168765, -114.05433195006844 51.09061696596859, -114.05482635131567 51.09061703902911, -114.05489020735924 51.090646717207285, -114.05808834351568 51.09064870588318, -114.05970843451144 51.090649997840146, -114.05982397449333 51.09060588943029, -114.0598241611318 51.09027920676563, -114.0598325607708 51.09004612295905, -114.05984763559701 51.089929575036464, -114.0598667782518 51.089746434986694, -114.05994741976426 51.08970396335018, -114.06004716490425 51.08964077145875, -114.05995390222847 51.08959278843993, -114.05991905835306 51.08955852960938, -114.05990162209451 51.08952974644555, -114.05989287935306 51.08949684515533, -114.05987998712679 51.08936450501253, -114.05990613236318 51.088724994680724, -114.0598973162938 51.08826830256982, -114.0598879391326 51.08778263521364, -114.05989241063821 51.087327999350265, -114.05990040913065 51.08712648374587, -114.05989439893047 51.08684278456652, -114.05989009735937 51.0863877782545, -114.05988555804575 51.085907760967565, -114.05990852879911 51.08544757334771, -114.05993218359214 51.08497365720835, -114.05993085513225 51.08483696633157, -114.05992198421721 51.084544000155994, -114.05991120085727 51.08408970717091, -114.05992031179856 51.083677030639805, -114.0580797323728 51.08367530033355, -114.0574855853287 51.08367055257131, -114.05624944897544 51.083673261912814, -114.0562493661131 51.0837014400849, -114.05465699691028 51.083700068401136, -114.05465793344042 51.08332966552988, -114.05465754819116 51.08324134216026, -114.05397953994286 51.08323967314477, -114.05270963952883 51.08324025256719, -114.05271670091895 51.08323467938121, -114.05279568017826 51.08317927364138, -114.05286259834048 51.083137023397505, -114.05301837988203 51.08304282287386, -114.05322755108895 51.08292392118904, -114.05343739674448 51.08280416210311, -114.0540368613876 51.0824583899758, -114.05411450898639 51.08240908344758, -114.05419019519266 51.08235713840769, -114.05424088763652 51.08231848446572, -114.05428077117062 51.082283052026426, -114.05432133786772 51.08223873655717, -114.05437725406013 51.082178495017075, -114.05442657134564 51.08210787434487, -114.05446163570097 51.082052487903816, -114.05448463006115 51.08200195161386, -114.0545037191016 51.0819389017122, -114.05461026711436 51.08150727469434, -114.05533643948917 51.08150795446704, -114.0574851055147 51.08150994184936, -114.05994697311154 51.081508244269045, -114.06106156568231 51.08151285448898, -114.06187555305225 51.081513225702864, -114.0624539416021 51.08150784438669, -114.06320003352799 51.08150648065202, -114.0638638847876 51.08150611810596, -114.06456417079642 51.08150571549371, -114.0650121577516 51.08150949820771, -114.06526409130402 51.081508263797836, -114.06596772290675 51.08150701846672, -114.0666699024832 51.0815113586113, -114.06747582798671 51.08151096277217, -114.06807730773932 51.08151036326845, -114.07153737308131 51.081512678855596, -114.07154221190082 51.08195725229396, -114.07154696744803 51.08239404068946, -114.07155184613164 51.082842126301905, -114.07155664506966 51.083282863768204, -114.07156148076373 51.08372701096184, -114.07156625936346 51.084165543206225, -114.07157111841862 51.08461175524564, -114.07157585414065 51.08504642638499, -114.07158849110338 51.086079064894626, -114.07160563985728 51.087029899862024, -114.0716098419244 51.08739590086661, -114.07161260950537 51.08770919270729, -114.07162415955574 51.08827088343793, -114.07162781418558 51.08852810793418, -114.07163202442554 51.08882434003878, -114.07160294792472 51.09059189318775, -114.07157095338056 51.09253643961404, -114.07155958709392 51.09322721384716, -114.07154195012734 51.09429887555926, -114.07153327559317 51.09482595347254, -114.07152444268553 51.09525604922413, -114.07152475233939 51.095343870785115, -114.07151281722317 51.095438132832435, -114.07151060757242 51.09557531633426, -114.07150934228643 51.09568797187864, -114.07150820181944 51.09578344361794, -114.07150184449272 51.09605461506562, -114.06935622917783 51.09605980178251, -114.06916509261914 51.09606001748456, -114.06911887284114 51.09592027995058, -114.06911605837466 51.09566994038632, -114.0691626854784 51.09565033694082)))"
