WARD_NUM,NAME,COMM_CODE,SECTOR,CLASS,CLASS_CODE,SRG,COMM_STRUCTURE
11,BRITANNIA,BRT,CENTRE,Residential,1,BUILT-OUT,1950s
11,CEDARBRAE,CED,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
9,RENFREW,REN,CENTRE,Residential,1,BUILT-OUT,INNER CITY
4,GREENVIEW INDUSTRIAL PARK,GRI,CENTRE,Industrial,2,N/A,EMPLOYMENT
7,EAU CLAIRE,EAU,CENTRE,Residential,1,BUILT-OUT,CENTRE CITY
8,KILLARNEY/GLENGARRY,KIL,CENTRE,Residential,1,BUILT-OUT,1950s
2,HAWKWOOD,HAW,NORTHWEST,Residential,1,BUILT-OUT,1980s/1990s
9,HIGHFIELD,HIF,CENTRE,Industrial,2,N/A,EMPLOYMENT
1,GREENWOOD/GREENBRIAR,GRE,NORTHWEST,Residential,1,BUILT-OUT,1960s/1970s
7,CRESCENT HEIGHTS,CRE,CENTRE,Residential,1,BUILT-OUT,INNER CITY
1,ROCKY RIDGE,ROC,NORTHWEST,Residential,1,DEVELOPING,BUILDING OUT
4,HUNTINGTON HILLS,HUN,NORTH,Residential,1,BUILT-OUT,1960s/1970s
8,SHAGANAPPI,SHG,CENTRE,Residential,1,BUILT-OUT,1950s
8,WILDWOOD,WLD,WEST,Residential,1,BUILT-OUT,1950s
11,ELBOYA,EYA,CENTRE,Residential,1,BUILT-OUT,1950s
10,ABBEYDALE,ABB,NORTHEAST,Residential,1,BUILT-OUT,2000s
9,FAIRVIEW,FAI,SOUTH,Residential,1,BUILT-OUT,1950s
12,COPPERFIELD,CPF,SOUTHEAST,Residential,1,DEVELOPING,BUILDING OUT
7,ST. ANDREWS HEIGHTS,STA,CENTRE,Residential,1,BUILT-OUT,1950s
14,FISH CREEK PARK,FPK,SOUTH,Major Park,3,N/A,PARKS
7,MOUNT PLEASANT,MOP,CENTRE,Residential,1,BUILT-OUT,INNER CITY
14,PARKLAND,PKL,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
7,DOWNTOWN EAST VILLAGE,DNE,CENTRE,Residential,1,BUILT-OUT,CENTRE CITY
10,MARLBOROUGH,MRL,NORTHEAST,Residential,1,BUILT-OUT,1960s/1970s
7,PARKDALE,PKD,CENTRE,Residential,1,BUILT-OUT,1950s
13,SHAWNEE SLOPES,SHS,SOUTH,Residential,1,BUILT-OUT,1980s/1990s
11,NORTH GLENMORE PARK,NGM,WEST,Residential,1,BUILT-OUT,1950s
4,GREENVIEW,GRV,CENTRE,Residential,1,BUILT-OUT,1960s/1970s
10,MAYLAND,MLI,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
2,02K,02K,NORTH,Residual Sub Area,4,N/A,UNDEVELOPED
2,KINCORA,KCA,NORTH,Residential,1,DEVELOPING,2000s
5,SADDLE RIDGE,SAD,NORTHEAST,Residential,1,DEVELOPING,2000s
5,STONEGATE LANDING,SGL,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
13,13J,13J,SOUTH,Residual Sub Area,4,N/A,UNDEVELOPED
8,CURRIE BARRACKS,CUR,WEST,Residential,1,BUILT-OUT,BUILDING OUT
5,SKYVIEW RANCH,SKR,NORTHEAST,Residential,1,DEVELOPING,2000s
8,ALTADORE,ALT,CENTRE,Residential,1,BUILT-OUT,INNER CITY
11,BELTLINE,BLN,CENTRE,Residential,1,BUILT-OUT,CENTRE CITY
8,LINCOLN PARK,LPK,WEST,Residential,1,BUILT-OUT,1950s
5,05F,05F,NORTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
5,REDSTONE,RSN,NORTHEAST,Residential,1,DEVELOPING,BUILDING OUT
4,COLLINGWOOD,COL,NORTHWEST,Residential,1,BUILT-OUT,1950s
13,PINE CREEK,PCK,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
5,STONEY 2,ST2,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
14,WOLF WILLOW,WWO,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
8,GARRISON WOODS,GAW,CENTRE,Residential,1,BUILT-OUT,INNER CITY
11,PARKHILL,PKH,CENTRE,Residential,1,BUILT-OUT,1950s
9,FOREST LAWN,FLN,EAST,Residential,1,BUILT-OUT,1950s
5,CALGARY INTERNATIONAL AIRPORT,CIA,NORTHEAST,Industrial,2,N/A,OTHER
10,VISTA HEIGHTS,VIS,NORTHEAST,Residential,1,BUILT-OUT,1960s/1970s
3,COUNTRY HILLS,COU,NORTH,Residential,1,BUILT-OUT,1980s/1990s
5,SKYLINE EAST,SKE,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
13,SILVERADO,SVO,SOUTH,Residential,1,DEVELOPING,BUILDING OUT
12,12K,12K,SOUTHEAST,Residual Sub Area,4,N/A,UNDEVELOPED
4,BRENTWOOD,BRE,NORTHWEST,Residential,1,BUILT-OUT,1960s/1970s
14,DOUGLASDALE/GLEN,DDG,SOUTHEAST,Residential,1,BUILT-OUT,1980s/1990s
11,MAPLE RIDGE,MPL,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
8,GARRISON GREEN,GAG,WEST,Residential,1,BUILT-OUT,BUILDING OUT
10,RUNDLE,RUN,NORTHEAST,Residential,1,BUILT-OUT,1960s/1970s
11,ACADIA,ACA,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
4,QUEENS PARK VILLAGE,QPK,CENTRE,Residential,1,BUILT-OUT,1950s
11,ROXBORO,ROX,CENTRE,Residential,1,BUILT-OUT,INNER CITY
10,CORAL SPRINGS,COR,NORTHEAST,Residential,1,BUILT-OUT,2000s
5,TARADALE,TAR,NORTHEAST,Residential,1,DEVELOPING,2000s
11,WILLOW PARK,WIL,SOUTH,Residential,1,BUILT-OUT,1960s/1970s
1,01K,01K,NORTHWEST,Residual Sub Area,4,N/A,UNDEVELOPED
5,SADDLE RIDGE INDUSTRIAL,SRI,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
10,PINERIDGE,PIN,NORTHEAST,Residential,1,BUILT-OUT,1960s/1970s
10,MCCALL,MCI,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
4,ROSEMONT,RMT,CENTRE,Residential,1,BUILT-OUT,1950s
5,PEGASUS,PEG,NORTHEAST,Industrial,2,N/A,EMPLOYMENT
10,TEMPLE,TEM,NORTHEAST,Residential,1,BUILT-OUT,1960s/1970s
6,CANADA OLYMPIC PARK,COP,WEST,Major Park,3,N/A,OTHER
10,MONTEREY PARK,MOR,NORTHEAST,Residential,1,BUILT-OUT,2000s
7,UNIVERSITY HEIGHTS,UNI,NORTHWEST,Residential,1,BUILT-OUT,1960s/1970s
